ID,Order,ATI,PC,SUS A,SUS D,ΔSUS,VU A,VU D,VS A,VS D
7,A→D,3.89,6,90,92.5,2.5,1.2,2,2,2
8,A→D,3.67,5.25,77.5,42.5,−35.0,0.8,0.6,0.75,−0.50
9,D→A,1.78,4,65,72.5,7.5,1.8,2,1,2
11,A→D,2.44,4.5,52.5,47.5,−5.0,0,0.8,−1.50,0.5
12,A→D,4.44,6,65,55,−10.0,−0.20,1.2,−0.75,0.5
13,D→A,4.44,5.75,55,95,40,0.8,2,0.5,1.5
16,D→A,4.67,7,92.5,87.5,−5.0,1.6,1.8,2,2
17,A→D,3.44,6,62.5,67.5,5,0.6,1,0,0.75
18,D→A,3.89,4.5,85,55,−30.0,1.8,1.2,2,0.25
19,D→A,5,6.25,97.5,92.5,−5.0,1.2,0.8,1.5,1.5
20,A→D,4.56,7,87.5,85,−2.5,1,1.6,1,1.5
21,D→A,5,4.75,95,92.5,−2.5,1,1.6,1.25,1
22,A→D,4.11,6,45,52.5,7.5,1,1,−0.25,0.5
23,D→A,5.44,6.75,60,80,20,0.4,2,1,2
24,A→D,3.89,7,85,52.5,−32.5,0,−1.20,0.25,0.25
25,A→D,5.56,4.75,55,92.5,37.5,0.8,1.8,0.25,1.5
26,D→A,3.22,4.75,82.5,90,7.5,0.2,0.8,0,0
27,A→D,4.22,5.5,87.5,67.5,−20.0,1.4,1.6,1.5,1
28,A→D,3.78,6,67.5,27.5,−40.0,0.4,0.2,−0.25,−1.00
29,D→A,4.11,3.5,65,72.5,7.5,−0.40,0.6,−0.50,0.75
30,D→A,4.67,6,67.5,92.5,25,0,1.6,−0.75,1.5
